id,date,volumeETH,volumeUSD,volumeUSDUntracked,feesUSD,txCount,tvlUSD
19072,1647820800,443661.1705249100059978967244927994,1285994435.575083519056181396301989,0,1930984.78755681423176784573260892,12833047,19368867822.76251249750766935855224
19071,1647734400,426573.5758977873856288771232071718,1232874590.500768945666635382692059,0,1972004.088793481894916087289359994,12795292,19200364424.19695869004388363199063
19070,1647648000,418664.5086647360135502440063349664,1236127741.172112174372353404956026,0,2281513.44403488834729436268898349,12753548,19721499691.08225598765206510143758
19069,1647561600,719980.7878614203056677504068278041,2052900739.442807950851464449138226,0,5741110.074432595969829939857607474,12708901,19653349215.89380819180907405931835
19068,1647475200,573245.7536941333661373047958740326,1602492054.586626459862338925267474,0,4815565.284375998574071820961892555,12649768,18859122732.44284788940795828556716
19067,1647388800,692560.0565340694290899114579792345,1863137687.354152173948012088571546,0,2382028.088330200599001216508711213,12598761,18588783296.48524412078211870942701
19066,1647302400,457938.0134369771048843802597637526,1180021735.205844175836044132495267,0,1500814.942072504804493187899330233,12561282,17724589800.34132667598472588859375
19065,1647216000,450929.4965202463893163618284165121,1155151570.172774996711622117391956,0,1415185.288808190687762644225323361,12524254,17522939839.65366041854947378253043
19064,1647129600,386954.1157758125999977999888253236,992132056.1553178626920947810759088,0,1188201.916919970135039932895108256,12489636,17069181701.70550506296576465060612
19063,1647043200,268358.3957893886066725519958690384,693594343.3742010032509149467799583,0,828318.1855687854554680436764709935,12456520,17415068476.02029162189105908596497
19062,1646956800,519133.6053636806495109717389871447,1342899968.343970298433232536529296,0,1636500.704365135568625479032372434,12426853,17376843854.59242425262938326260167
19061,1646870400,519062.9940971963855028406178752735,1356923846.973438456863543784776634,0,1684424.007005705405724343234557024,12390356,17645689477.42870528413511130759582
19060,1646784000,536471.3022989839229385582588375099,1453709635.20750516116141603949995,0,1817630.495841272691536372847315572,12354363,18297567833.80501628170510912437224
19059,1646697600,633402.6252356406849567210594241165,1622475026.821133238534760822495003,0,1831873.088196523539080248201054529,12316397,17401866272.60564160279003184972811
19058,1646611200,621233.757367851553987855805670117,1577833205.948247920351337299629869,0,1963241.447351427056995580936988822,12283449,254144111754.4462934519728980119344
19057,1646524800,393171.3126897842515036932330532007,1031135059.608781547055341986030795,0,1299663.838841643405358385761909509,12245201,4430772753.317940429918296188590332
19056,1646438400,319697.7034463043286983720060675136,844477811.086837966407913126590147,0,1019361.919918500865559277219951721,12215458,4561360770.416729170543188120494694
19055,1646352000,698897.5123056013658697200822931498,1885043135.1906282501515203994642,0,2065356.952291540137177884795757586,12186969,4497644421.025682471201352891392564
19054,1646265600,464466.292516756613856016611336758,1334804331.972397721478141551687004,0,1544370.713270785589956738825659715,12151879,4713759965.792378085219912302008832
